,0,1,2,3,4,5
166,2.75e-05,8e-06,5.25e-05,9868781000.0,0.0295073292,2.11458504
167,2.75e-05,9e-06,5.25e-05,9868781000.0,0.0295073292,2.11458504
168,2.75e-05,6e-06,5.3e-05,9971921000.0,0.02972123,2.11595477
169,2.75e-05,7e-06,5.3e-05,9971921000.0,0.02972123,2.11595477
170,2.75e-05,8e-06,5.3e-05,9971921000.0,0.02972123,2.11595477
171,2.75e-05,9e-06,5.3e-05,9971921000.0,0.02972123,2.11595477
172,2.75e-05,6e-06,5.35e-05,10073090000.0,0.0299349699,2.11731134
173,2.75e-05,7e-06,5.35e-05,10073090000.0,0.0299349699,2.11731134
174,2.75e-05,8e-06,5.35e-05,10073090000.0,0.0299349699,2.11731134
175,2.75e-05,9e-06,5.35e-05,10073090000.0,0.0299349699,2.11731134
176,2.75e-05,6e-06,5.4e-05,10172290000.0,0.030148556,2.11865459
177,2.75e-05,7e-06,5.4e-05,10172290000.0,0.030148556,2.11865459
178,2.75e-05,8e-06,5.4e-05,10172290000.0,0.030148556,2.11865459
179,2.75e-05,9e-06,5.4e-05,10172290000.0,0.030148556,2.11865459
180,2.75e-05,6e-06,5.45e-05,10269570000.0,0.0303619964,2.1199843
181,2.75e-05,7e-06,5.45e-05,10269570000.0,0.0303619964,2.1199843
182,2.75e-05,8e-06,5.45e-05,10269570000.0,0.0303619964,2.1199843
183,2.75e-05,9e-06,5.45e-05,10269570000.0,0.0303619964,2.1199843
184,2.75e-05,6e-06,5.5e-05,10364950000.0,0.0305752849,2.12130126
185,2.75e-05,7e-06,5.5e-05,10364950000.0,0.0305752849,2.12130126
186,2.75e-05,8e-06,5.5e-05,10364950000.0,0.0305752849,2.12130126
187,2.75e-05,9e-06,5.5e-05,10364950000.0,0.0305752849,2.12130126
188,2.75e-05,6e-06,5.55e-05,10458500000.0,0.0307884177,2.12260552
189,2.75e-05,7e-06,5.55e-05,10458500000.0,0.0307884177,2.12260552
190,2.75e-05,8e-06,5.55e-05,10458500000.0,0.0307884177,2.12260552
191,2.75e-05,9e-06,5.55e-05,10458500000.0,0.0307884177,2.12260552
192,2.8e-05,6e-06,5.2e-05,10067070000.0,0.03012038,2.1184454
193,2.8e-05,7e-06,5.2e-05,10067070000.0,0.03012038,2.1184454
194,2.8e-05,8e-06,5.2e-05,10067070000.0,0.03012038,2.1184454
195,2.8e-05,9e-06,5.2e-05,10067070000.0,0.03012038,2.1184454
196,2.8e-05,6e-06,5.25e-05,10171600000.0,0.0303420538,2.11982836
197,2.8e-05,7e-06,5.25e-05,10171600000.0,0.0303420538,2.11982836
198,2.8e-05,8e-06,5.25e-05,10171600000.0,0.0303420538,2.11982836
199,2.8e-05,9e-06,5.25e-05,10171600000.0,0.0303420538,2.11982836
200,2.8e-05,6e-06,5.3e-05,10274120000.0,0.0305635781,2.1211974
201,2.8e-05,7e-06,5.3e-05,10274120000.0,0.0305635781,2.1211974
202,2.8e-05,8e-06,5.3e-05,10274120000.0,0.0305635781,2.1211974
203,2.8e-05,9e-06,5.3e-05,10274120000.0,0.0305635781,2.1211974
204,2.8e-05,6e-06,5.35e-05,10374630000.0,0.030784945,2.12255278
205,2.8e-05,7e-06,5.35e-05,10374630000.0,0.030784945,2.12255278
206,2.8e-05,8e-06,5.35e-05,10374630000.0,0.030784945,2.12255278
207,2.8e-05,9e-06,5.35e-05,10374630000.0,0.030784945,2.12255278
208,2.8e-05,6e-06,5.4e-05,10473210000.0,0.0310061559,2.12389476
209,2.8e-05,7e-06,5.4e-05,10473210000.0,0.0310061559,2.12389476
210,2.8e-05,8e-06,5.4e-05,10473210000.0,0.0310061559,2.12389476
211,2.8e-05,9e-06,5.4e-05,10473210000.0,0.0310061559,2.12389476
212,2.8e-05,6e-06,5.45e-05,10560330000.0,0.031227212,2.12522364
213,2.8e-05,7e-06,5.45e-05,10560330000.0,0.031227212,2.12522364
214,2.8e-05,8e-06,5.45e-05,10560330000.0,0.031227212,2.12522364
215,2.8e-05,9e-06,5.45e-05,10560330000.0,0.031227212,2.12522364
216,2.8e-05,6e-06,5.5e-05,10595180000.0,0.0314481154,2.12653968
217,2.8e-05,7e-06,5.5e-05,10595180000.0,0.0314481154,2.12653968
218,2.8e-05,8e-06,5.5e-05,10595180000.0,0.0314481154,2.12653968
219,2.8e-05,9e-06,5.5e-05,10595180000.0,0.0314481154,2.12653968
220,2.8e-05,6e-06,5.55e-05,10627300000.0,0.0316688648,2.12784314
221,2.8e-05,7e-06,5.55e-05,10627300000.0,0.0316688648,2.12784314
