b ,"leafValue( getData("":pwr"" ?result ""dc"") ""a"" 2.88e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.0675e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.255e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.4425e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.63e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 3.8175e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.005e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.1925e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.38e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.5675e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.755e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 4.9425e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.13e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.3175e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.505e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.6925e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 5.88e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.0675e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.255e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.4425e-06 ) (W)","leafValue( getData("":pwr"" ?result ""dc"") ""a"" 6.63e-06 ) (W)"
922.5,3.11E-04,3.28E-04,3.45E-04,3.62E-04,3.79E-04,3.95E-04,4.11E-04,4.27E-04,4.43E-04,4.58E-04,4.73E-04,4.88E-04,5.03E-04,5.17E-04,5.31E-04,5.45E-04,5.59E-04,5.73E-04,5.86E-04,6.00E-04,6.13E-04
928,3.11E-04,3.28E-04,3.45E-04,3.62E-04,3.78E-04,3.95E-04,4.11E-04,4.26E-04,4.42E-04,4.57E-04,4.72E-04,4.87E-04,5.02E-04,5.16E-04,5.31E-04,5.45E-04,5.58E-04,5.72E-04,5.85E-04,5.99E-04,6.12E-04
933.5,3.10E-04,3.28E-04,3.45E-04,3.62E-04,3.78E-04,3.94E-04,4.10E-04,4.26E-04,4.42E-04,4.57E-04,4.72E-04,4.87E-04,5.01E-04,5.16E-04,5.30E-04,5.44E-04,5.58E-04,5.71E-04,5.85E-04,5.98E-04,6.11E-04
939,3.10E-04,3.27E-04,3.44E-04,3.61E-04,3.78E-04,3.94E-04,4.10E-04,4.26E-04,4.41E-04,4.56E-04,4.71E-04,4.86E-04,5.01E-04,5.15E-04,5.29E-04,5.43E-04,5.57E-04,5.70E-04,5.84E-04,5.97E-04,6.10E-04
944.5,3.10E-04,3.27E-04,3.44E-04,3.61E-04,3.77E-04,3.94E-04,4.09E-04,4.25E-04,4.41E-04,4.56E-04,4.71E-04,4.86E-04,5.00E-04,5.14E-04,5.28E-04,5.42E-04,5.56E-04,5.70E-04,5.83E-04,5.96E-04,6.09E-04
950,3.10E-04,3.27E-04,3.44E-04,3.61E-04,3.77E-04,3.93E-04,4.09E-04,4.25E-04,4.40E-04,4.55E-04,4.70E-04,4.85E-04,4.99E-04,5.14E-04,5.28E-04,5.42E-04,5.55E-04,5.69E-04,5.82E-04,5.95E-04,6.08E-04
955.5,3.09E-04,3.27E-04,3.44E-04,3.60E-04,3.77E-04,3.93E-04,4.09E-04,4.24E-04,4.40E-04,4.55E-04,4.70E-04,4.84E-04,4.99E-04,5.13E-04,5.27E-04,5.41E-04,5.55E-04,5.68E-04,5.81E-04,5.94E-04,6.07E-04
961,3.09E-04,3.26E-04,3.43E-04,3.60E-04,3.76E-04,3.92E-04,4.08E-04,4.24E-04,4.39E-04,4.54E-04,4.69E-04,4.84E-04,4.98E-04,5.12E-04,5.26E-04,5.40E-04,5.54E-04,5.67E-04,5.81E-04,5.94E-04,6.06E-04
966.5,3.09E-04,3.26E-04,3.43E-04,3.60E-04,3.76E-04,3.92E-04,4.08E-04,4.23E-04,4.39E-04,4.54E-04,4.69E-04,4.83E-04,4.98E-04,5.12E-04,5.26E-04,5.40E-04,5.53E-04,5.67E-04,5.80E-04,5.93E-04,6.06E-04
972,3.09E-04,3.26E-04,3.43E-04,3.59E-04,3.76E-04,3.92E-04,4.07E-04,4.23E-04,4.38E-04,4.53E-04,4.68E-04,4.83E-04,4.97E-04,5.11E-04,5.25E-04,5.39E-04,5.52E-04,5.66E-04,5.79E-04,5.92E-04,6.05E-04
